post_date,month,year,date_precision,article_title,article_url,status,restaurant_name,address,city,notes,source_urls,lat,lng,geocode_status
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Ana’s Norwegian Bakeri,"6770 South Yosemite Street, Centennial, and 918 16th Street Mall",Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Comida,3350 Brighton Boulevard,Aurora,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Logan Street Restaurant,400 East Seventh Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,New Saigon,630 South Federal Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Red Lobster,"8268 East Northfield Boulevard; 810 South Wadsworth Boulevard, Lakewood; 4455 Wadsworth Boulevard, Wheat Ridge; 9067 East Westview Road",Lone Tree,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Renegade Brewing,925 West Ninth Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-02-01,February,2025,month,Restaurant Roll Call: Every Opening and Closing in January,https://www.westword.com/food-drink/every-restaurant-opening-and-closing-in-denver-january-2025-23244427/,opened,Finch,"on the Fly, Denver International Airport, Concourse A",Denver,,https://www.westword.com/food-drink/every-restaurant-opening-and-closing-in-denver-january-2025-23244427/,,,no_result
2025-03-01,March,2025,month,Restaurant Roll Call: Every Opening and Closing in February,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-february-2025-23723606/,closed,Campfire,"840 Tabor Street, Lakewood, and 27883 Meadow Drive",Evergreen,,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-february-2025-23723606/,,,no_result
2025-05-03,May,2025,month,Restaurant Roll Call: Every Opening and Closing in April,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-april-2025-24424110/,closed,Pho on 6th,1312 East Sixth Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-april-2025-24424110/,,,no_result
2025-05-03,May,2025,month,Restaurant Roll Call: Every Opening and Closing in April,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-april-2025-24424110/,closed,Roberta’s,"Urban Cowboy Hotel, 1665 Grant Street",Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-april-2025-24424110/,,,no_result
2025-07-01,July,2025,month,Restaurant Roll Call: Every Opening and Closing for June,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-june-2025-24927243/,closed,Great Divide,2201 Arapahoe Street and 1812 35th Street,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-june-2025-24927243/,,,no_result
2025-07-31,July,2025,month,Restaurant Roll Call: Every Opening and Closing in July,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,opened,The Bindery,"Concourse A, Denver International Airport",Denver,,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,,,no_result
2025-07-31,July,2025,month,Restaurant Roll Call: Every Opening and Closing in July,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,opened,Louis’ No. 3,11903 West Sixth Avenue Frontage Road,Lakewood,,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,,,no_result
2025-07-31,July,2025,month,Restaurant Roll Call: Every Opening and Closing in July,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,opened,Maria Empanada,"Concourse A, Denver International Airport",Denver,,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,,,no_result
2025-07-31,July,2025,month,Restaurant Roll Call: Every Opening and Closing in July,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,opened,Uncle,"Concourse A, Denver International Airport",Denver,,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,Aloy Thai,1400 East Hampden Avenue,Greenwood Village,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/ | https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,Cherry Cricket,1280 East First Avenue,Broomfield,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,King Arthur Baking,"the Shops at River North Art District, 2800 Walnut Street, Suite #100",Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,Tessa Delicatessen,"Edgewater Public Market, 5505 West 20th Avenue",Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,Town Pump Provisions,2810 East Third Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,closed,Wild Taco,215 East Seventh Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
